title,doi,loadDate,openAccess,firstPage,lastPage,pii,publicationDate,sourceTitle,uri,authors,File Attachments
Direct Synthesis of Sulfonic Acid functionalized Zirconium Metal-Organic Framework,10.1016/j.micromeso.2025.113639,2025-04-08T00:00:00.000Z,True,113639,113639,S1387181125001532,2025-04-08,Microporous and Mesoporous Materials,https://www.sciencedirect.com/science/article/pii/S1387181125001532?dgcid=api_sd_search-api-endpoint,"Ananya Chari, Toyoto Sato, Sachin Chavan",10_1016_j_micromeso_2025_113639_full_text.md
Enhanced carbon dioxide diffusion and conversion in cycloaddition reaction of carbon dioxide with terminal epoxides catalyzed by type III porous liquids,10.1016/j.jece.2025.116566,2025-04-08T00:00:00.000Z,False,116566,116566,S221334372501262X,2025-04-08,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S221334372501262X?dgcid=api_sd_search-api-endpoint,"Zhiwei Dong, Yudong Ding, Qiang Liao",10_1016_j_jece_2025_116566_full_text.md
New hyper-crosslinked polymers for enhanced CO2 adsorption: Synthesis and characterization,10.1016/j.scp.2025.102015,2025-04-07T00:00:00.000Z,False,102015,102015,S2352554125001135,2025-06-30,Sustainable Chemistry and Pharmacy,https://www.sciencedirect.com/science/article/pii/S2352554125001135?dgcid=api_sd_search-api-endpoint,Kutalmis Gokkus,10_1016_j_scp_2025_102015_full_text.md
Modeling of nanoporous phenolic resins and investigating their CO2 adsorption behavior via molecular dynamics simulation,10.1016/j.commatsci.2025.113878,2025-04-05T00:00:00.000Z,False,113878,113878,S0927025625002216,2025-05-31,Computational Materials Science,https://www.sciencedirect.com/science/article/pii/S0927025625002216?dgcid=api_sd_search-api-endpoint,"Atsushi Izumi, Yasuyuki Shudo, Mitsuhiro Shibayama",10_1016_j_commatsci_2025_113878_full_text.md
Dual enhancement design of charge separation and CO2 adsorption by Na and amination treatment in g-C3N4 for efficient CO2 photoreduction,10.1016/j.seppur.2025.132876,2025-04-05T00:00:00.000Z,False,132876,132876,S138358662501473X,2025-04-05,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S138358662501473X?dgcid=api_sd_search-api-endpoint,"Liang Chen, Xianglei Kong, Wenjing Wang",10_1016_j_seppur_2025_132876_full_text.md
"Efficient CO2 adsorption and selective CO2/CH4/N2 separation by porous carbon with different N, S sources",10.1016/j.seppur.2025.132853,2025-04-04T00:00:00.000Z,False,132853,132853,S1383586625014509,2025-09-07,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S1383586625014509?dgcid=api_sd_search-api-endpoint,"Kuantao Zhang, Dailiu Hu, Zheng Chen",10_1016_j_seppur_2025_132853_full_text.md
Interwoven MOF gel – polymer network mixed matrix membranes for enhanced H2/CO2 separation,10.1016/j.memsci.2025.124067,2025-04-03T00:00:00.000Z,False,124067,124067,S0376738825003801,2025-05-31,Journal of Membrane Science,https://www.sciencedirect.com/science/article/pii/S0376738825003801?dgcid=api_sd_search-api-endpoint,"Qingnan Wang, Yanting Tang, Shaofei Wang",10_1016_j_memsci_2025_124067_full_text.md
Supramolecular chemistry for carbon dioxide capture,10.1016/j.ccr.2025.216655,2025-04-01T00:00:00.000Z,False,216655,216655,S0010854525002255,2025-07-15,Coordination Chemistry Reviews,https://www.sciencedirect.com/science/article/pii/S0010854525002255?dgcid=api_sd_search-api-endpoint,"Shouhao Wei, Mohamed K. Albolkany, Bo Liu",10_1016_j_ccr_2025_216655_full_text.md
Achieving efficient CO2 capture through the synergistic effect of sulfur and calcium in the electrospun lignin-based carbon membrane,10.1016/j.seppur.2025.132812,2025-04-01T00:00:00.000Z,False,132812,132812,S1383586625014091,2025-09-07,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S1383586625014091?dgcid=api_sd_search-api-endpoint,"Haifeng Jiang, Xin Xie, Zhengru Lian",10_1016_j_seppur_2025_132812_full_text.md
CO2 adsorption performance of nitrogen-doped activated carbon from banana pseudo-stem by urea-assisted high-pressure CO2-Hydrothermal treatment,10.1016/j.seppur.2025.132773,2025-03-31T00:00:00.000Z,False,132773,132773,S138358662501370X,2025-08-27,Separation and Purification Technology,https://www.sciencedirect.com/science/article/pii/S138358662501370X?dgcid=api_sd_search-api-endpoint,"Huangru Zhang, Fenghao Jiang, Ke Liu",10_1016_j_seppur_2025_132773_full_text.md
"Functionalized α-FeOOH-based core–shell materials for high-efficiency carbon dioxide adsorption and fixation: Surface modification, thermodynamic behavior, and fixation kinetics",10.1016/j.jece.2025.116418,2025-03-31T00:00:00.000Z,False,116418,116418,S2213343725011145,2025-06-30,Journal of Environmental Chemical Engineering,https://www.sciencedirect.com/science/article/pii/S2213343725011145?dgcid=api_sd_search-api-endpoint,"Nazrul Hsan, Yonggyun Cho, Joonseok Koh",10_1016_j_jece_2025_116418_full_text.md
Designing guidelines of coal-based porous carbon for CO2 capture under flue gas conditions: A review,10.1016/j.cej.2025.162029,2025-03-28T00:00:00.000Z,False,162029,162029,S1385894725028554,2025-05-01,Chemical Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1385894725028554?dgcid=api_sd_search-api-endpoint,"Jiaxun Liu, Xinyu Zhong, Guoqing Chen",10_1016_j_cej_2025_162029_full_text.md
Unlocking CO2 conversion potential with single atom catalysts and machine learning in energy application,10.1016/j.isci.2025.112306,2025-03-28T00:00:00.000Z,True,112306,112306,S258900422500567X,2025-03-28,iScience,https://www.sciencedirect.com/science/article/pii/S258900422500567X?dgcid=api_sd_search-api-endpoint,"Esraa Kotob, Mohammed Mosaad Awad, Saheed A. Ganiyu",10_1016_j_isci_2025_112306_full_text.md
Predicting CO2 adsorption in metal-organic frameworks: Integrating machine learning with virtual sample generation,10.1016/j.rsurfi.2025.100505,2025-03-28T00:00:00.000Z,True,100505,100505,S2666845925000923,2025-05-31,Results in Surfaces and Interfaces,https://www.sciencedirect.com/science/article/pii/S2666845925000923?dgcid=api_sd_search-api-endpoint,"Wahyu Aji Eko Prabowo, Muhamad Akrom, Febdian Rusydi",10_1016_j_rsurfi_2025_100505_full_text.md
The role of biogenic waste composition on pyrolysis: Part II – Char CO2 adsorption capacity,10.1016/j.biombioe.2025.107775,2025-03-23T00:00:00.000Z,False,107775,107775,S0961953425001862,2025-06-30,Biomass and Bioenergy,https://www.sciencedirect.com/science/article/pii/S0961953425001862?dgcid=api_sd_search-api-endpoint,"África Navarro, Isabel Fonts, Gloria Gea",10_1016_j_biombioe_2025_107775_full_text.md
